;id;name;price;descrip_corta;imagen;marca;features
0;lbt_1;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
1;lbt_2;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
2;lbt_3;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
3;lbt_4;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
4;lbt_5;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
5;lbt_6;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
6;lbt_7;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
7;lbt_8;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
8;lbt_9;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
9;lbt_10;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon
